Name,Calle,"Colonia, Estado",inmueble en operacion,Precio,habitaciones,baños,estacionamientos,metros totales,Media_01,Media_02,Media_03,Media_04,Media_05,Media_06,Media_07,Media_08,Media_09,Media_10
CYY-963_Ponton_Asesores_(4-5)_Post,fuente portal de las flores 70,"Lomas de las Palmas, Huixquilucan",[ Casa en Venta ],"$13,250,000.00 mxn",3 HABITACIONES,3 BAÑOS,3 ESTACIONAMIENTOS,302 m² TOTALES,CYY-963-photo-01-de-28.jpg,CYY-963-photo-02-de-28.jpg,CYY-963-photo-03-de-28.jpg,CYY-963-photo-04-de-28.jpg,CYY-963-photo-05-de-28.jpg,CYY-963-photo-06-de-28.jpg,CYY-963-photo-07-de-28.jpg,CYY-963-photo-08-de-28.jpg,CYY-963-photo-09-de-28.jpg,CYY-963-photo-10-de-28.jpg
CZC-976_Proyecto_(4-5)_Post,Tierra Arbolada 60,"Sección Parques, Cuautitlán Izcalli",[ Casa en Venta ],"$2,900,000.00 mxn",3 HABITACIONES,1 BAÑO,1 ESTACIONAMIENTO,125 m² TOTALES,CZC-976-photo-01-de-20.jpg,CZC-976-photo-02-de-20.jpg,CZC-976-photo-03-de-20.jpg,CZC-976-photo-04-de-20.jpg,CZC-976-photo-05-de-20.jpg,CZC-976-photo-06-de-20.jpg,CZC-976-photo-07-de-20.jpg,CZC-976-photo-08-de-20.jpg,CZC-976-photo-09-de-20.jpg,CZC-976-photo-10-de-20.jpg
CZE-063_Talavera_Real_Estate_(4-5)_Post,Puente Viejo 71,"Las Cañadas, Zapopan",[ Casa en Venta ],"$11,300,000.00 mxn",2 HABITACIONES,3 BAÑOS,3 ESTACIONAMIENTOS,347 m² TOTALES,CZE-063-photo-01-de-29.jpg,CZE-063-photo-02-de-29.jpg,CZE-063-photo-03-de-29.jpg,CZE-063-photo-04-de-29.jpg,CZE-063-photo-05-de-29.jpg,CZE-063-photo-06-de-29.jpg,CZE-063-photo-07-de-29.jpg,CZE-063-photo-08-de-29.jpg,CZE-063-photo-09-de-29.jpg,CZE-063-photo-10-de-29.jpg
CZG-546_Proyecto_(4-5)_Post,Av. Luis Cabrera 138,"San Jerónimo Aculco, La Magdalena Contreras",[ Casa en condominio en Venta ],"$11,990,000.00 mxn",5 HABITACIONES,3 BAÑOS,2 ESTACIONAMIENTOS,302 m² TOTALES,CZG-546-photo-01-de-27.jpg,CZG-546-photo-02-de-27.jpg,CZG-546-photo-03-de-27.jpg,CZG-546-photo-04-de-27.jpg,CZG-546-photo-05-de-27.jpg,CZG-546-photo-06-de-27.jpg,CZG-546-photo-07-de-27.jpg,CZG-546-photo-08-de-27.jpg,CZG-546-photo-09-de-27.jpg,CZG-546-photo-10-de-27.jpg
DBH-112_NURA_(4-5)_Post,Temozón Norte,"Temozón Norte, Mérida",[ Departamento en Venta ],"$2,499,000.00 mxn",2 HABITACIONES,2 BAÑOS,1 ESTACIONAMIENTO,86 m² TOTALES,DBH-112-photo-01-de-34.jpg,DBH-112-photo-02-de-34.jpg,DBH-112-photo-03-de-34.jpg,DBH-112-photo-04-de-34.jpg,DBH-112-photo-05-de-34.jpg,DBH-112-photo-06-de-34.jpg,DBH-112-photo-07-de-34.jpg,DBH-112-photo-08-de-34.jpg,DBH-112-photo-09-de-34.jpg,DBH-112-photo-10-de-34.jpg
DCI-165_Diamond_House_(4-5)_Post,Paseo de los Laureles 444,"Bosques de las Lomas, Cuajimalpa de Morelos",[ Departamento en Venta ],"$13,800,000.00 mxn",3 HABITACIONES,3 BAÑOS,4 ESTACIONAMIENTOS,338 m² TOTALES,DCI-165-photo-01-de-31.jpg,DCI-165-photo-02-de-31.jpg,DCI-165-photo-03-de-31.jpg,DCI-165-photo-04-de-31.jpg,DCI-165-photo-05-de-31.jpg,DCI-165-photo-06-de-31.jpg,DCI-165-photo-07-de-31.jpg,DCI-165-photo-08-de-31.jpg,DCI-165-photo-09-de-31.jpg,DCI-165-photo-10-de-31.jpg
DET-283_NURA_(4-5)_Post,Calle 57,"Fraccionamiento Villas La Hacienda, Mérida",[ Departamento en Venta ],"$2,599,000.00 mxn",1 HABITACIÓN,1 BAÑO,1 ESTACIONAMIENTO,67 m² TOTALES,DET-283-photo-01-de-22.jpg,DET-283-photo-02-de-22.jpg,DET-283-photo-03-de-22.jpg,DET-283-photo-04-de-22.jpg,DET-283-photo-05-de-22.jpg,DET-283-photo-06-de-22.jpg,DET-283-photo-07-de-22.jpg,DET-283-photo-08-de-22.jpg,DET-283-photo-09-de-22.jpg,DET-283-photo-10-de-22.jpg
DET-453_NURA_(4-5)_Post,Cedro 669,"Cholul, Mérida",[ Departamento en Venta ],"$1,549,000.00 mxn",1 HABITACIÓN,1 BAÑO,1 ESTACIONAMIENTO,43 m² TOTALES,DET-453-photo-01-de-12.jpg,DET-453-photo-02-de-12.jpg,DET-453-photo-03-de-12.jpg,DET-453-photo-04-de-12.jpg,DET-453-photo-05-de-12.jpg,DET-453-photo-06-de-12.jpg,DET-453-photo-07-de-12.jpg,DET-453-photo-08-de-12.jpg,DET-453-photo-09-de-12.jpg,DET-453-photo-10-de-12.jpg
DEX-762_Hipoo_mx_(4-5)_Post,Prolongación Paseo de la Reforma 355,"Santa Fe, Alvaro Obregón",[ Departamento en Venta ],"$4,990,000.00 mxn",2 HABITACIONES,2 BAÑOS,2 ESTACIONAMIENTOS,97 m² TOTALES,DEX-762-photo-01-de-30.jpg,DEX-762-photo-02-de-30.jpg,DEX-762-photo-03-de-30.jpg,DEX-762-photo-04-de-30.jpg,DEX-762-photo-05-de-30.jpg,DEX-762-photo-06-de-30.jpg,DEX-762-photo-07-de-30.jpg,DEX-762-photo-08-de-30.jpg,DEX-762-photo-09-de-30.jpg,DEX-762-photo-10-de-30.jpg
DGM-689_BOS_Inmobiliaria_(4-5)_Post,Pernambuco 801,"Lindavista, Gustavo A. Madero",[ Departamento en Venta ],"$7,995,000.00 mxn",3 HABITACIONES,3 BAÑOS,2 ESTACIONAMIENTOS,128 m² TOTALES,DGM-689-photo-01-de-24.jpg,DGM-689-photo-02-de-24.jpg,DGM-689-photo-03-de-24.jpg,DGM-689-photo-04-de-24.jpg,DGM-689-photo-05-de-24.jpg,DGM-689-photo-06-de-24.jpg,DGM-689-photo-07-de-24.jpg,DGM-689-photo-08-de-24.jpg,DGM-689-photo-09-de-24.jpg,DGM-689-photo-10-de-24.jpg
